Rat number: 7 , Date: 20210716 
419,418,424,423,422,416,417,418,424,418,424,418,417,410,409,408,407,401,324,318,317,316,322,321,320,314,315,308,307,306,307,301,302,121,120,114,113,106,107,101,102,103,104,105,104,105,111,110,109,103,109,108,107,101,102,103,104,105,111,112,119,118,124,201,202,203,209,210,211,205,204,203,209,208,215,216,217,218,224,223,404,405,411,410,417,416,422,423,422,421,420,414,415,408,407,401,324,323,322,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('417', '416') ('00:36:15.440', '00:36:20.720') 5.28 0.3 0.057
('416', '422') ('00:36:20.720', '00:36:22.960') 2.24 0.3 0.134
('422', '423') ('00:36:22.960', '00:36:35.520') 12.56 0.3 0.024
('423', '209') ('00:36:35.520', '00:36:56.080') 20.56 0.3 0.015

314,320,314,320,321,322,321,320,314,315,308,307,301,302,121,122,123,124,201,202,203,209,
Summary Trial 13
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('314', '320') ('00:36:56.200', '00:37:11.400') 15.2 0.3 0.02
('320', '314') ('00:37:11.400', '00:37:17.760') 6.36 0.3 0.047
('314', '320') ('00:37:17.760', '00:37:25.320') 7.56 0.3 0.04
('320', '321') ('00:37:25.320', '00:37:27.400') 2.08 0.3 0.144
('321', '322') ('00:37:27.400', '00:37:31.200') 3.8 0.3 0.079
('322', '321') ('00:37:31.200', '00:37:57.640') 26.44 0.3 0.011
('321', '320') ('00:37:57.640', '00:38:2.960') 5.32 0.3 0.056
('320', '314') ('00:38:2.960', '00:38:16.400') 13.44 0.3 0.022
('314', '315') ('00:38:16.400', '00:38:18.600') 2.2 0.3 0.136
('315', '308') ('00:38:18.600', '00:38:19.680') 1.08 0.3 0.278
('308', '307') ('00:38:19.680', '00:38:26.680') 7.0 0.3 0.043
('307', '301') ('00:38:26.680', '00:38:27.720') 1.04 0.3 0.288
('301', '302') ('00:38:27.720', '00:38:28.560') 0.84 0.3 0.357
('302', '121') ('00:38:28.560', '00:38:34.120') 5.56 1.72 0.309
('121', '122') ('00:38:34.120', '00:38:35.080') 0.96 0.3 0.312
('122', '123') ('00:38:35.080', '00:38:35.800') 0.72 0.3 0.417
('123', '124') ('00:38:35.800', '00:38:36.640') 0.84 0.3 0.357
('124', '201') ('00:38:36.640', '00:38:47.600') 10.96 0.6 0.055
('201', '202') ('00:38:47.600', '00:38:48.240') 0.64 0.3 0.469
('202', '203') ('00:38:48.240', '00:38:49.040') 0.8 0.3 0.375
('203', '209') ('00:38:49.040', '00:38:51.480') 2.44 0.3 0.123

106,107,101,102,103,109,110,117,118,124,201,202,203,209,
Summary Trial 14
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('106', '107') ('00:39:46.400', '00:39:48.440') 2.04 0.3 0.147
('107', '101') ('00:39:48.440', '00:39:57.160') 8.72 0.3 0.034
('101', '102') ('00:39:57.160', '00:40:2.080') 4.92 0.3 0.061
('102', '103') ('00:40:2.080', '00:40:7.320') 5.24 0.3 0.057
('103', '109') ('00:40:7.320', '00:40:10.600') 3.28 0.3 0.091
('109', '110') ('00:40:10.600', '00:40:29.680') 19.08 0.3 0.016
('110', '117') ('00:40:29.680', '00:40:31.360') 1.68 0.3 0.179
