Rat number: 7 , Date: 20210718 
319,318,317,310,311,305,220,214,215,208,209,208,207,201,202,203,209,210,217,218,219,218,219,212,211,210,209,203,202,201,124,118,117,110,109,103,102,101,107,106,107,108,115,116,122,121,302,303,309,308,307,308,315,316,322,321,322,323,324,401,407,408,415,416,422,423,422,416,417,410,411,405,404,223,224,218,217,210,209,203,204,205,211,210,209,208,207,201,202,203,202,201,207,208,209,203,209,210,217,218,224,218,217,210,217,210,209,208,207,201,202,203,204,203,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('301', '302') ('00:15:39.400', '00:15:40.200') 0.8 0.3 0.375
('302', '121') ('00:15:40.200', '00:15:42.600') 2.4 1.72 0.717
('121', '122') ('00:15:42.600', '00:15:43.320') 0.72 0.3 0.417
('122', '123') ('00:15:43.320', '00:15:44.080') 0.76 0.3 0.395
('123', '124') ('00:15:44.080', '00:15:44.800') 0.72 0.3 0.417
('124', '201') ('00:15:44.800', '00:15:46.400') 1.6 0.6 0.375
('201', '202') ('00:15:46.400', '00:15:47.120') 0.72 0.3 0.417
('202', '203') ('00:15:47.120', '00:15:47.800') 0.68 0.3 0.441
('203', '209') ('00:15:47.800', '00:15:48.800') 1.0 0.3 0.3

420,421,422,416,415,408,407,401,324,318,317,316,315,308,307,301,302,121,122,123,124,201,202,203,209,
Summary Trial 5
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('420', '421') ('00:16:36.200', '00:16:40.040') 3.84 0.3 0.078
('421', '422') ('00:16:40.040', '00:16:42.200') 2.16 0.3 0.139
('422', '416') ('00:16:42.200', '00:16:43.560') 1.36 0.3 0.221
('416', '415') ('00:16:43.560', '00:16:45.360') 1.8 0.3 0.167
('415', '408') ('00:16:45.360', '00:16:46.080') 0.72 0.3 0.417
('408', '407') ('00:16:46.080', '00:16:46.960') 0.88 0.3 0.341
('407', '401') ('00:16:46.960', '00:16:48.240') 1.28 0.3 0.234
('401', '324') ('00:16:48.240', '00:16:50.280') 2.04 0.6 0.294
('324', '318') ('00:16:50.280', '00:16:51.280') 1.0 0.3 0.3
('318', '317') ('00:16:51.280', '00:16:52.560') 1.28 0.3 0.234
('317', '316') ('00:16:52.560', '00:16:55.360') 2.8 0.3 0.107
('316', '315') ('00:16:55.360', '00:16:56.800') 1.44 0.3 0.208
('315', '308') ('00:16:56.800', '00:16:58.120') 1.32 0.3 0.227
('308', '307') ('00:16:58.120', '00:17:0.200') 2.08 0.3 0.144
('307', '301') ('00:17:0.200', '00:17:1.960') 1.76 0.3 0.17
('301', '302') ('00:17:1.960', '00:17:2.640') 0.68 0.3 0.441
('302', '121') ('00:17:2.640', '00:17:6.079') 3.439 1.72 0.5
('121', '122') ('00:17:6.079', '00:17:6.920') 0.841 0.3 0.357
('122', '123') ('00:17:6.920', '00:17:9.160') 2.24 0.3 0.134
('123', '124') ('00:17:9.160', '00:17:9.800') 0.64 0.3 0.469
('124', '201') ('00:17:9.800', '00:17:13.920') 4.12 0.6 0.146
('201', '202') ('00:17:13.920', '00:17:14.560') 0.64 0.3 0.469
('202', '203') ('00:17:14.560', '00:17:15.520') 0.96 0.3 0.312
('203', '209') ('00:17:15.520', '00:17:17.000') 1.48 0.3 0.203

321,322,321,320,314,315,308,307,301,302,121,122,123,124,201,202,203,209,
